Song Take,Song Name,Ragam,Composer,Janya Number,Youtube Link,Shruti
1,Maragatha-Manimaya,Aarabhi,Ootukada-Venkatasubaiyar,29,https://www.youtube.com/watch?v=y49vgKv5KLY&ab_channel=TrichurBrothers,2 Kattai
2,Maragatha-Manimaya,Aarabhi,Ootukada-Venkatasubaiyar,29,https://www.youtube.com/watch?v=bgQrNjZRW3E&ab_channel=BombaySisters-Topic,2 Kattai
1,Sadhinchane,Aarabhi,Thyagaraja,29,https://www.youtube.com/watch?v=zS0BiTRVTlk&ab_channel=NithyasreeMahadevan-Topic,4 Kattai
2,Sadhinchane,Aarabhi,Thyagaraja,29,https://www.youtube.com/watch?v=xiSLwc_bvjw&ab_channel=SonyMusicIndiaVEVO,4 Kattai
1,Sri-Saraswati-Namostute,Aarabhi,Mutthuswami-Dikshitar,29,https://www.youtube.com/watch?v=yV36tmyYwRA&ab_channel=CarnaticEcstasy,1 Kattai
2,Sri-Saraswati-Namostute,Aarabhi,Mutthuswami-Dikshitar,29,https://www.youtube.com/watch?v=2EMt7-nj8JU&ab_channel=SoulfulChirps,3 Kattai
1,Bhajare-Re-Maanasa,Abheri,Mysore-Vaasudevacharya,22,https://www.youtube.com/watch?v=CVjkhdzgH-s&ab_channel=SRINIVASDIXIT,6 Kattai
2,Bhajare-Re-Maanasa,Abheri,Mysore-Vaasudevacharya,22,https://www.youtube.com/watch?v=LuGOW-3Nhbo&ab_channel=CarnaticEcstasy,3 Kattai
1,Eppadi-Padinaro,Abheri,Suddhanandha-Bharathi,22,https://www.youtube.com/watch?v=bBeomj3NwmA&ab_channel=KalakendraMusic%26Dance,3 Kattai
2,Eppadi-Padinaro,Abheri,Suddhanandha-Bharathi,22,https://www.youtube.com/watch?v=rGpdihssIBM&ab_channel=D.K.Pattammal-Topic,2 Kattai
1,Nagumomu-Ganaleni,Abheri,Thyagaraja,22,https://www.youtube.com/watch?v=n3EhQyA_6v0&ab_channel=IndianCultureandClassicalMusic,5 Kattai
