Song Take,Song Name,Ragam,Composer,Janya Number,Youtube Link,Shruti
1,Saamagaanalola,Chitrambari,Koteeshwara-Iyer,66,https://www.youtube.com/watch?v=7ksYhn4b750&list=OLAK5uy_nBLZ0RFtF4CdultzaQe2dz90HSJ_VkdWQ&index=7,7 Kattai
2,Saamagaanalola,Chitrambari,Koteeshwara-Iyer,66,https://www.youtube.com/watch?v=ETZ4AQ7-omU&ab_channel=S.Rajeswari-Topic,3 Kattai
1,Naayakanai,Darbar,Andal,22,https://www.youtube.com/watch?v=OWcacgnO0E0&ab_channel=SouthIndianMusicAcademyLosAngeles,1 Kattai
2,Naayakanai,Darbar,Andal,22,https://www.youtube.com/watch?v=fU54V1vbPUU&ab_channel=Saketharaman,4 Kattai
1,Ramabhirama-Ramaneeya,Darbar,Thyagaraja,22,https://www.youtube.com/watch?v=Z8jGbUbwlv0&ab_channel=MaxworthCapitalMarketServicesPrivateLimited,6 Kattai
2,Ramabhirama-Ramaneeya,Darbar,Thyagaraja,22,https://www.youtube.com/watch?v=LjZgJ0OsmSs&ab_channel=RatheeshRamachandran,1 Kattai
1,Yochana,Darbar,Thyagaraja,22,https://www.youtube.com/watch?v=sroUqp7YPbI&ab_channel=SaRiGaMaPaDaNi_Videos,5 Kattai
2,Yochana,Darbar,Thyagaraja,22,https://www.youtube.com/watch?v=iTa1Rilx6qM&ab_channel=RithvikRaja,3 Kattai
1,Chandrachooda,Darbari-Kaanada,Purandhara-Dhasa,20,https://www.youtube.com/watch?v=CimWmQDheoM&ab_channel=BhaskaranShivaraman,7 Kattai
2,Chandrachooda,Darbari-Kaanada,Purandhara-Dhasa,20,https://www.youtube.com/watch?v=RphpfzWZstE&ab_channel=CarnaticClassicalManoramaMusic,6 Kattai
1,Govardhana-Giridhara,Darbari-Kaanada,Narayana-Teertar,20,https://www.youtube.com/watch?v=-Ln5lefMpkA&ab_channel=AdorableIndia,2 Kattai
2,Govardhana-Giridhara,Darbari-Kaanada,Narayana-Teertar,20,https://www.youtube.com/watch?v=Xz-cq95zNt0&ab_channel=SpoorthiRao,3 Kattai
1,Nanda-Nandana,Desh,Lalita-Daasar,28,https://www.youtube.com/watch?v=V61HmSds_VI&ab_channel=musiquebox,2 Kattai
2,Nanda-Nandana,Desh,Lalita-Daasar,28,https://www.youtube.com/watch?v=iSCMNJs9QgE&ab_channel=INRECOTamilFilmEvergreenNostalgicSongs,3 Kattai
1,Tunbam-Nergaiyil,Desh,Subramania-Bharathi,28,https://www.youtube.com/watch?v=_F-gXUUL3_g&ab_channel=SanjaySubrahmanyan,7 Kattai
2,Tunbam-Nergaiyil,Desh,Subramania-Bharathi,28,https://www.youtube.com/watch?v=P5LqpVy53Sw&ab_channel=AmuthamMusic,5 Kattai
1,Balakrishnan,Dhanyasi,Papanasam-Shivan,8,https://www.youtube.com/watch?v=4RwuY8lU1nk&ab_channel=AmruthaVenkatesh,6 Kattai
2,Balakrishnan,Dhanyasi,Papanasam-Shivan,8,https://www.youtube.com/watch?v=ABRBwIqbEfQ&ab_channel=SunaadhaKrishnaAmai,5 Kattai
1,Meenalochana-Brova,Dhanyasi,Shyama-Shastri,8,https://www.youtube.com/watch?v=ZPQ76IIVMBM&list=PLG_Yzqd_RqR0MjTbiWkXDwvqB4Z71o1qk&index=88&ab_channel=AmruthaVenkatesh,1 Kattai
2,Meenalochana-Brova,Dhanyasi,Shyama-Shastri,8,https://www.youtube.com/watch?v=VfRVkHiNlIQ&ab_channel=KRISN,2 Kattai
1,Sangeetha-Gnanamu,Dhanyasi,Thyagaraja,8,https://www.youtube.com/watch?v=s3FdCs1X2fs&list=PLG_Yzqd_RqR0MjTbiWkXDwvqB4Z71o1qk&index=26&ab_channel=AmruthaVenkatesh,3 Kattai
2,Sangeetha-Gnanamu,Dhanyasi,Thyagaraja,8,https://www.youtube.com/watch?v=HUPzGUxcVPM&ab_channel=Thyagaraja-Topic,7 Kattai
1,Ododi-Vanden-Kanna,Dharmavati,Ambujam-Krishna,59,https://www.youtube.com/watch?v=-JHbFsvweY4&ab_channel=SriSathyanathan,6 Kattai
2,Ododi-Vanden-Kanna,Dharmavati,Ambujam-Krishna,59,https://www.youtube.com/watch?v=yZTcftwl5d4&ab_channel=SureshM,3 Kattai
1,Parandhamavati,Dharmavati,Mutthuswami-Dikshitar,59,https://www.youtube.com/watch?v=FAfuyDXs1Vc&ab_channel=SubramanianKrishnan,6 Kattai
2,Parandhamavati,Dharmavati,Mutthuswami-Dikshitar,59,https://www.youtube.com/watch?v=8CrSply7oDk&ab_channel=SubramanianKrishnan,1 Kattai
1,Ramacandrasya,Dharmavati,Mutthuswami-Dikshitar,59,https://www.youtube.com/watch?v=IVLNxvXtQlU&ab_channel=SuswaraLahari%28NarayanKumar%29,5 Kattai
2,Ramacandrasya,Dharmavati,Mutthuswami-Dikshitar,59,https://www.youtube.com/watch?v=b9YiwW7K0J8&ab_channel=SubramanianKrishnan,2 Kattai
1,Sukhakara,Dhatuvardhini,Koteeshwara-Iyer,69,https://www.youtube.com/watch?v=plcBcGBbe4c&ab_channel=PraapthiEvents,7 Kattai
2,Sukhakara,Dhatuvardhini,Koteeshwara-Iyer,69,https://www.youtube.com/watch?v=w5oOk57QUtQ&list=OLAK5uy_nBLZ0RFtF4CdultzaQe2dz90HSJ_VkdWQ&index=41,5 Kattai
1,Kaarunya-Kanda,Dhavalambari,Koteeshwara-Iyer,49,https://www.youtube.com/watch?v=Bd7lVDlU9I8&ab_channel=SureshM,6 Kattai
2,Kaarunya-Kanda,Dhavalambari,Koteeshwara-Iyer,49,https://www.youtube.com/watch?v=m5UDSCZ42AE&ab_channel=ParivadiniMusic,3 Kattai
1,Karunai-Kadale,Dhenuka,Koteeshwara-Iyer,9,https://www.youtube.com/watch?v=7vbhdErF-Mw&ab_channel=PraapthiEvents,4 Kattai
2,Karunai-Kadale,Dhenuka,Koteeshwara-Iyer,9,https://www.youtube.com/watch?v=_K3hGQgzelk&ab_channel=S.Rajam-Topic,2 Kattai
1,Teliyaleru-Rama,Dhenuka,Thyagaraja,9,https://www.youtube.com/watch?v=NocL9bp4vIY&ab_channel=FirstEditionArtsChannel,3 Kattai
2,Teliyaleru-Rama,Dhenuka,Thyagaraja,9,https://www.youtube.com/watch?v=3gR6-JvCEXA&ab_channel=BombayJayashri-Topic,2 Kattai
1,Appa-Murugayane,Divyamani,Koteeshwara-Iyer,48,https://www.youtube.com/watch?v=Z6SPlyR-VdE&list=OLAK5uy_nBLZ0RFtF4CdultzaQe2dz90HSJ_VkdWQ&index=13,3 Kattai
2,Appa-Murugayane,Divyamani,Koteeshwara-Iyer,48,https://www.youtube.com/watch?v=XNTpflKDtsE&ab_channel=SureshM,7 Kattai
1,Akhilandeshwari,Dwajavanti,Mutthuswami-Dikshitar,28,https://www.youtube.com/watch?v=3iP07j-5LLA&ab_channel=MusicToday,2 Kattai
2,Akhilandeshwari,Dwajavanti,Mutthuswami-Dikshitar,28,https://www.youtube.com/watch?v=i6tSNRNfCyo&ab_channel=TrichurBrothers,7 Kattai
1,Cheta-Sri,Dwajavanti,Mutthuswami-Dikshitar,28,https://www.youtube.com/watch?v=AAANau_xVPM,2 Kattai
2,Cheta-Sri,Dwajavanti,Mutthuswami-Dikshitar,28,https://www.youtube.com/watch?v=5SgB3nQ6Q2g&ab_channel=MaxworthCapitalMarketServicesPrivateLimited,4 Kattai
1,Taruni-Njan,Dwajavanti,Swati-Tirunal,28,https://www.youtube.com/watch?v=022QQ-bxcIY,1 Kattai
2,Taruni-Njan,Dwajavanti,Swati-Tirunal,28,https://www.youtube.com/watch?v=uolgKyN895E&ab_channel=AishwaryaVidhyaRaghunath,2 Kattai
1,Ihame-Sukham,Gamanashrama,Koteeshwara-Iyer,53,https://www.youtube.com/watch?v=wY70WTF9WS4&ab_channel=RajNamboodiri,4 Kattai
2,Ihame-Sukham,Gamanashrama,Koteeshwara-Iyer,53,https://www.youtube.com/watch?v=QtGZdiH_zYE&ab_channel=SureshM,7 Kattai
1,Shree-Jalandhara,Gambhira-Nattai,Mutthuswami-Dikshitar,36,https://www.youtube.com/watch?v=lebHEcEmOso&ab_channel=LavanyaSundararaman,7 Kattai
2,Shree-Jalandhara,Gambhira-Nattai,Mutthuswami-Dikshitar,36,https://www.youtube.com/watch?v=vOsTVxH_ZlE&ab_channel=SadhuCiyaram,3 Kattai
